nom,date,season,longitude,latitude,temperature
Adebar,01/09/2022,Fall,-4.740890597,37.50036837,25.9
Adebar,01/10/2022,Fall,-5.32007421,37.31095776,19.9
Adebar,01/11/2022,Fall,-6.003568353,37.58936498,19.3
Adebar,01/12/2022,Winter,-6.006731158,37.59663722,11.8
Adebar,01/01/2023,Winter,-6.008288335,37.59492226,11.8
Adebar,01/02/2023,Winter,-4.458796204,39.77428583,3.3
Adebar,01/03/2023,Spring,7.618052894,48.41994258,2.2
Adebar,01/04/2023,Spring,8.410779567,49.42759855,9.8
Adebar,01/05/2023,Spring,8.410758303,49.42761499,13.1
Adebar,01/06/2023,Summer,8.405830697,49.42420852,20.5
Adebar,01/07/2023,Summer,8.367963642,49.45129424,19
Adebar,01/08/2023,Summer,8.328631784,49.47555214,19.2
Adebar,01/09/2023,Fall,-1.511069657,40.45798789,19.1
Adebar,01/10/2023,Fall,-5.345038452,37.26609017,27.8
Adebar,01/11/2023,Fall,-5.334897523,37.26827378,16.1
Adebar,01/12/2023,Winter,-5.35121815,37.25038789,13.2
Adi,01/06/2016,Summer,11.46855828,48.65645064,15.6
Adi,01/07/2016,Summer,11.46887896,48.65607324,20.3
Adi,01/08/2016,Summer,11.12707961,48.44906589,17.7
Adi,01/09/2016,Fall,2.01985993,42.73212254,15.5
Adi,01/10/2016,Fall,-3.253591429,39.40733838,20.7
Adi,01/11/2016,Fall,-3.252951453,39.40867301,13.9
Adi,01/12/2016,Winter,-3.239769094,39.43120055,9.4
